licence_profile_name,document_type,title,leap_url,document_date,compliance_status,compliance_date,profilenumber,licenceprofileid,document_url
Corby Rock Mill Unlimited Company - P1039,Monitoring Returns,Corby Rock 1st & 2nd Period Bi-Annual Environmental Dust Monitoring 2025,https://leap.epa.ie/licence-profile/P1039/compliance/return/013f6095-f3bb-f011-a378-0050568a2d1a,2025-12-08T00:00:00+00:00,Closed,2025-11-07T00:00:00,P1039,d20f0db1-98ef-e611-a4f6-0050568a69e2,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=013f6095-f3bb-f011-a378-0050568a2d1a
Kingspan Building Products Limited - P0065,Site Updates/Notifications,ODS & F-Gas Inventory 2025,https://leap.epa.ie/licence-profile/P0065/compliance/return/13bcbb4d-2869-f011-a373-0050568a2d1a,2025-12-08T00:00:00+00:00,Closed,2025-07-25T00:00:00,P0065,41bfea9c-c15a-4569-9cdf-a90959127188,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=13bcbb4d-2869-f011-a373-0050568a2d1a
MSD International GmbH t/a MSD Ireland (Biotech Dublin) - P1106,Monitoring Returns,ODS F-gas Report 2024,https://leap.epa.ie/licence-profile/P1106/compliance/return/18f99626-0367-f011-a373-0050568a2d1a,2025-12-08T00:00:00+00:00,Closed,2025-07-22T00:00:00,P1106,2da03876-ace3-4c97-98bc-61678774639c,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=18f99626-0367-f011-a373-0050568a2d1a
ZOETIS BELGIUM S.A - P0015,Site Updates/Notifications,R404,https://leap.epa.ie/licence-profile/P0015/compliance/return/1cd96a7d-252c-f011-a373-0050568a2d1a,2025-12-08T00:00:00+00:00,Closed,2025-05-08T00:00:00,P0015,4447b20a-0d78-4af0-8ceb-27fcdd0f6fe8,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=1cd96a7d-252c-f011-a373-0050568a2d1a
Pfizer Ireland Pharmaceuticals Unlimited Company (Ringaskiddy) - P0013,Site Updates/Notifications,Updated inventory of equipment containing ODS and F-Gases,https://leap.epa.ie/licence-profile/P0013/compliance/return/22c6f56f-7962-f011-a373-0050568a2d1a,2025-12-08T00:00:00+00:00,Closed,2025-07-16T00:00:00,P0013,8e7289a5-44fc-4715-b9b6-a76e88c16c0d,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=22c6f56f-7962-f011-a373-0050568a2d1a
MSD International GmbH t/a MSD Ireland (Biotech Dublin) - P1106,Site Updates/Notifications,F-Gas Release.,https://leap.epa.ie/licence-profile/P1106/compliance/return/2b015073-cf25-f011-a373-0050568a2d1a,2025-12-08T00:00:00+00:00,Closed,2025-04-30T00:00:00,P1106,2da03876-ace3-4c97-98bc-61678774639c,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=2b015073-cf25-f011-a373-0050568a2d1a
Smartply Europe Designated Activity Company - P0001,Site Updates/Notifications,ODS and F-Gas maintenance and leak check,https://leap.epa.ie/licence-profile/P0001/compliance/return/2d3d7100-1950-f011-a373-0050568a2d1a,2025-12-08T00:00:00+00:00,Closed,2025-06-23T00:00:00,P0001,977ef377-1a33-4a13-8c64-0bc46f9944c8,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=2d3d7100-1950-f011-a373-0050568a2d1a
Pfizer Ireland Pharmaceuticals Unlimited Company (Newbridge) - P0153,Site Updates/Notifications,Update for LR094321.,https://leap.epa.ie/licence-profile/P0153/compliance/return/37ca8154-b934-f011-a373-0050568a2d1a,2025-12-08T00:00:00+00:00,Closed,2025-05-19T00:00:00,P0153,a3a54cba-adf7-4285-b057-7e331f952f80,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=37ca8154-b934-f011-a373-0050568a2d1a
Medite Europe Designated Activity Company - P0027,Site Updates/Notifications,ODS and F-Gas Maintenance and Leak checks,https://leap.epa.ie/licence-profile/P0027/compliance/return/3bc16b29-d64d-f011-a373-0050568a2d1a,2025-12-08T00:00:00+00:00,Closed,2025-06-20T00:00:00,P0027,a926aeac-69ed-4213-af9a-d3eb7495b6d7,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=3bc16b29-d64d-f011-a373-0050568a2d1a
ZOETIS BELGIUM S.A - P0015,Site Updates/Notifications,R407C,https://leap.epa.ie/licence-profile/P0015/compliance/return/3dd3725f-8c3c-f011-a373-0050568a2d1a,2025-12-08T00:00:00+00:00,Closed,2025-05-29T00:00:00,P0015,4447b20a-0d78-4af0-8ceb-27fcdd0f6fe8,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=3dd3725f-8c3c-f011-a373-0050568a2d1a
