licence_profile_name,document_type,title,leap_url,document_date,compliance_status,compliance_date,profilenumber,licenceprofileid,document_url
GP Wood Ltd - P0594,Site Updates/Notifications,Licensee Public Response - SV34572,https://leap.epa.ie/licence-profile/P0594/compliance/return/6102275c-eb13-f111-a37d-0050568a2d1a,2026-04-02T00:00:00+00:00,Closed,2026-02-27T00:00:00,P0594,a8bf7e16-caba-4137-a7d7-d34c1df05886,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=6102275c-eb13-f111-a37d-0050568a2d1a
Dublin Port - S0004,Site Updates/Notifications,Commencement Notice,https://leap.epa.ie/licence-profile/S0004/compliance/return/88c43f03-902e-f111-a37d-0050568a2d1a,2026-04-02T00:00:00+00:00,Open,2026-04-02T00:00:00,S0004,c3e61a83-98a6-e611-8d41-0050568a69e2,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=88c43f03-902e-f111-a37d-0050568a2d1a
Burgess Galvin and Company Limited - P0075,Site Updates/Notifications,Solvent Management Plan 2025,https://leap.epa.ie/licence-profile/P0075/compliance/return/dc1f1d87-cc13-f111-a37d-0050568a2d1a,2026-04-02T00:00:00+00:00,Closed,2026-02-27T00:00:00,P0075,e45c3ce6-0192-4608-8746-4b605889ebb1,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=dc1f1d87-cc13-f111-a37d-0050568a2d1a
Port of Waterford. - S0012,Site Updates/Notifications,Commencement Notice TSHD campaign - update 2,https://leap.epa.ie/licence-profile/S0012/compliance/return/6fa854bb-f12d-f111-a37d-0050568a2d1a,2026-04-01T00:00:00+00:00,Open,2026-04-01T00:00:00,S0012,d3e61a83-98a6-e611-8d41-0050568a69e2,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=6fa854bb-f12d-f111-a37d-0050568a2d1a
