licence_profile_name,document_type,title,leap_url,document_date,compliance_status,compliance_date,profilenumber,licenceprofileid,document_url
Kenmare Transfer Station - W0086,EPA Initiated Correspondence,,https://leap.epa.ie/licence-profile/W0086/compliance/epa-correspondence/3a5b114e-82ae-f011-a377-0050568a2d1a,2025-10-27T00:00:00+00:00,Open (Eden),2025-10-21T00:00:00,W0086,8f47e3b7-0052-4ced-bf02-259ff066247e,https://data.epa.ie/leap/api/v1/MeetingCorrespondence/epainiciatedcorrespondencebyid?epainitiatedcorrespondence_id=3a5b114e-82ae-f011-a377-0050568a2d1a
Athy Civic Amenity Centre - W0175,EPA Initiated Correspondence,,https://leap.epa.ie/licence-profile/W0175/compliance/epa-correspondence/827e2609-b6ad-f011-a377-0050568a2d1a,2025-10-27T00:00:00+00:00,Open,2025-10-20T00:00:00,W0175,f0460f14-b303-419d-81da-cbbefca8db69,https://data.epa.ie/leap/api/v1/MeetingCorrespondence/epainiciatedcorrespondencebyid?epainitiatedcorrespondence_id=827e2609-b6ad-f011-a377-0050568a2d1a
Caherciveen Transfer Station - W0087,EPA Initiated Correspondence,,https://leap.epa.ie/licence-profile/W0087/compliance/epa-correspondence/8c028b0f-86ae-f011-a377-0050568a2d1a,2025-10-27T00:00:00+00:00,Open (Eden),2025-10-21T00:00:00,W0087,3ea51c8d-edd3-40a4-afc0-7817e6ec6ff7,https://data.epa.ie/leap/api/v1/MeetingCorrespondence/epainiciatedcorrespondencebyid?epainitiatedcorrespondence_id=8c028b0f-86ae-f011-a377-0050568a2d1a
