licence_profile_name,document_type,title,leap_url,document_date,compliance_status,compliance_date,profilenumber,licenceprofileid,document_url
Chemifloc Limited - P0076,Compliance Investigation,P0076 Chemifloc: Protection of Water Quality,https://leap.epa.ie/licence-profile/P0076/compliance/investigation/8ec1057a-52a4-f011-a377-0050568a2d1a,2025-10-14T00:00:00+00:00,Open,2025-10-14T00:00:00,P0076,55500f73-0ba0-4716-8d23-365670e0dc31,https://data.epa.ie/leap/api/v1/Ci/byid?ci_id=8ec1057a-52a4-f011-a377-0050568a2d1a
Drogheda - D0041,Complaint,"Odours, Wheaton Hall",https://leap.epa.ie/licence-profile/D0041/compliance/complaint/027d089a-a8a9-f011-a377-0050568a2d1a,2025-10-14T00:00:00+00:00,Open,2025-10-14T00:00:00,D0041,1e68c97b-dd90-4c0c-bfac-8df866b32cfe,https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=027d089a-a8a9-f011-a377-0050568a2d1a
Sneem - D0285,Complaint,COM022063 - Web Submission,https://leap.epa.ie/licence-profile/D0285/compliance/complaint/85971bc3-1fa9-f011-a377-0050568a2d1a,2025-10-14T00:00:00+00:00,Open,2025-10-14T00:00:00,D0285,68ccc968-005d-466b-b3ae-407b650a583e,https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=85971bc3-1fa9-f011-a377-0050568a2d1a
Charleville and Environs - D0204,Incident,Abatement equipment off-line,https://leap.epa.ie/licence-profile/D0204/compliance/incident/12d7149e-0093-f011-a377-0050568a2d1a,2025-10-14T00:00:00+00:00,Closed,2025-09-16T00:00:00,D0204,b96ec6f9-be64-42fc-9865-caa1cde675fc,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=12d7149e-0093-f011-a377-0050568a2d1a
Ballincollig - D0049,Incident,Abatement equipment off-line,https://leap.epa.ie/licence-profile/D0049/compliance/incident/216f4234-b9a2-f011-a377-0050568a2d1a,2025-10-14T00:00:00+00:00,Closed,2025-10-06T00:00:00,D0049,d2b67f3f-cf1f-4487-96e5-993d2438a26e,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=216f4234-b9a2-f011-a377-0050568a2d1a
Heineken Ireland Limited - P0445,Incident,Monitoring Equipment Issues,https://leap.epa.ie/licence-profile/P0445/compliance/incident/50e4ce27-01a9-f011-a377-0050568a2d1a,2025-10-14T00:00:00+00:00,Open,2025-10-14T00:00:00,P0445,c52556b1-fa4b-4ba9-83bd-bdbf6e2ffa5c,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=50e4ce27-01a9-f011-a377-0050568a2d1a
Arthurstown Landfill - W0004,Incident,Breach of ELV,https://leap.epa.ie/licence-profile/W0004/compliance/incident/c3a69562-e5a8-f011-a377-0050568a2d1a,2025-10-14T00:00:00+00:00,Open,2025-10-14T00:00:00,W0004,290726e2-768f-4dee-a99b-75696d74e521,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=c3a69562-e5a8-f011-a377-0050568a2d1a
Rottapharm Limited - P0886,Incident,Breach of ELV,https://leap.epa.ie/licence-profile/P0886/compliance/incident/d6fe25ab-01a9-f011-a377-0050568a2d1a,2025-10-14T00:00:00+00:00,Open,2025-10-14T00:00:00,P0886,87ba69db-bf59-471f-900c-e11f934110a4,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=d6fe25ab-01a9-f011-a377-0050568a2d1a
Bord na Móna Plc (Kilberry) - W0198,Incident,Trigger Level Reached,https://leap.epa.ie/licence-profile/W0198/compliance/incident/f4ce1e26-1aa9-f011-a377-0050568a2d1a,2025-10-14T00:00:00+00:00,Open,2025-10-14T00:00:00,W0198,fcfbe6a2-10b4-4e5c-9a43-b0e9a7ab7331,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=f4ce1e26-1aa9-f011-a377-0050568a2d1a
Cloughduv - D0330,Incident,Breach of ELV,https://leap.epa.ie/licence-profile/D0330/compliance/incident/f8bd4b75-099e-f011-a377-0050568a2d1a,2025-10-14T00:00:00+00:00,Closed,2025-09-30T00:00:00,D0330,38562de0-a7e7-452e-8fe4-6f24b7da65a4,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=f8bd4b75-099e-f011-a377-0050568a2d1a
