licence_profile_name,document_type,title,leap_url,document_date,compliance_status,compliance_date,profilenumber,licenceprofileid,document_url
Mullinahone - D0456,Complaint,Odour Mullinahone,https://leap.epa.ie/licence-profile/D0456/compliance/complaint/bb2d02dd-699f-f011-a377-0050568a2d1a,2025-10-01T00:00:00+00:00,Open,2025-10-01T00:00:00,D0456,2e8d84ab-e170-4e2d-8db7-8055f342c43c,https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=bb2d02dd-699f-f011-a377-0050568a2d1a
Anglo Beef Processors Ireland Unlimited Company trading as ABP Waterford - P0205,Complaint,"P0205-02, 24/09/2025, Odours",https://leap.epa.ie/licence-profile/P0205/compliance/complaint/dbd49b96-4899-f011-a377-0050568a2d1a,2025-10-01T00:00:00+00:00,Closed,2025-09-24T00:00:00,P0205,e45b9e00-8ace-4157-b3e3-7a5d07ddea3a,https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=dbd49b96-4899-f011-a377-0050568a2d1a
Adhesives Research Ireland Limited - P0452,Incident,Breach of ELV,https://leap.epa.ie/licence-profile/P0452/compliance/incident/19d01e37-d49e-f011-a377-0050568a2d1a,2025-10-01T00:00:00+00:00,Open,2025-10-01T00:00:00,P0452,24b741b8-3179-48f7-b055-bdf4d7f1eedd,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=19d01e37-d49e-f011-a377-0050568a2d1a
Runways Information Services Limited - P1192,Incident,4 occurrences where the generators were ran for 10 to 15 minutes over the hourly allowance,https://leap.epa.ie/licence-profile/P1192/compliance/incident/730133d2-9e9e-f011-a377-0050568a2d1a,2025-10-01T00:00:00+00:00,Open,2025-10-01T00:00:00,P1192,99afad8e-95b5-4d94-8662-aa598cfc6afd,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=730133d2-9e9e-f011-a377-0050568a2d1a
Premier Periclase Limited - P0376,Incident,Two exceedances of the dust deposition limit were recorded in August 2025 at the external monitoring,https://leap.epa.ie/licence-profile/P0376/compliance/incident/77dc8bc3-3b9d-f011-a377-0050568a2d1a,2025-10-01T00:00:00+00:00,Closed,2025-09-29T00:00:00,P0376,e3d4cdd5-7ad0-4785-83af-614411710884,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=77dc8bc3-3b9d-f011-a377-0050568a2d1a
Premier Periclase Limited - P0376,Incident,Two exceedances of the dust deposition limit were recorded in July 2025 at the external monitoring l,https://leap.epa.ie/licence-profile/P0376/compliance/incident/cc8a2902-1e8f-f011-a377-0050568a2d1a,2025-10-01T00:00:00+00:00,Closed,2025-09-11T00:00:00,P0376,e3d4cdd5-7ad0-4785-83af-614411710884,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=cc8a2902-1e8f-f011-a377-0050568a2d1a
Dromiskin - D0264,Incident,Abatement equipment off-line,https://leap.epa.ie/licence-profile/D0264/compliance/incident/def98ad5-a69e-f011-a377-0050568a2d1a,2025-10-01T00:00:00+00:00,Open,2025-10-01T00:00:00,D0264,b1c7797c-26ae-4325-8169-78e4c45b69cb,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=def98ad5-a69e-f011-a377-0050568a2d1a
"MSD International GmbH, trading as MSD Ireland (Brinny) - P0005",Incident,Monitoring Equipment Issues,https://leap.epa.ie/licence-profile/P0005/compliance/incident/df0324b5-4592-f011-a377-0050568a2d1a,2025-10-01T00:00:00+00:00,Closed,2025-09-15T00:00:00,P0005,402b12ea-8c77-4050-bc57-908a1f088899,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=df0324b5-4592-f011-a377-0050568a2d1a
ADSIL Cruiserath - P1182,Site Updates/Notifications,"LS Rejection – Notice - LR095873, “Condition 3.18- Ambient Air Monitoring Programme",https://leap.epa.ie/licence-profile/P1182/compliance/return/0e6ce966-de88-f011-a373-0050568a2d1a,2025-10-01T00:00:00+00:00,Closed,2025-09-03T00:00:00,P1182,c9dcc7e6-5ea1-42c0-957c-dca92867b985,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=0e6ce966-de88-f011-a373-0050568a2d1a
Kepak Longford Unlimited Company - P1084,Requests for Approval and Site Reports,Alternative Sampling,https://leap.epa.ie/licence-profile/P1084/compliance/return/0ee4fbdf-e49a-f011-a377-0050568a2d1a,2025-10-01T00:00:00+00:00,Closed,2025-09-26T00:00:00,P1084,acf675a7-2b7e-4f74-92ab-710651a70335,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=0ee4fbdf-e49a-f011-a377-0050568a2d1a
