licence_profile_name,document_type,title,leap_url,document_date,compliance_status,compliance_date,profilenumber,licenceprofileid,document_url
Ashgrove Recycling - W0147,Monitoring Returns,As per Schedule D.3: Bi Annually - Noise Monitoring,https://leap.epa.ie/licence-profile/W0147/compliance/return/6449da89-d817-f111-a37d-0050568a2d1a,2026-05-19T00:00:00+00:00,Closed,2026-03-04T00:00:00,W0147,cea8ece2-1a09-4083-b7d4-2db25f0e4b57,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=6449da89-d817-f111-a37d-0050568a2d1a
Ashgrove Recycling - W0147,Monitoring Returns,As per Schedule D.2:Monitoring-Dust 2025 Results,https://leap.epa.ie/licence-profile/W0147/compliance/return/9a22013c-2a13-f111-a37d-0050568a2d1a,2026-05-19T00:00:00+00:00,Closed,2026-02-26T00:00:00,W0147,cea8ece2-1a09-4083-b7d4-2db25f0e4b57,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=9a22013c-2a13-f111-a37d-0050568a2d1a
Dundalk - D0053,Complaint,COM023018 - Web Submission,https://leap.epa.ie/licence-profile/D0053/compliance/complaint/3d58fbad-de3b-f111-a37d-0050568a2d1a,2026-05-18T00:00:00+00:00,Closed,2026-04-19T00:00:00,D0053,0f980dc0-25cd-42b8-bb38-077b54e6a8dd,https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=3d58fbad-de3b-f111-a37d-0050568a2d1a
