licence_profile_name,document_type,title,leap_url,document_date,compliance_status,compliance_date,profilenumber,licenceprofileid,document_url
Electricity Supply Board (Poolbeg) - P0577,Site Updates/Notifications,Poolbeg 220kV GIS Substation Site Investigation works,https://leap.epa.ie/licence-profile/P0577/compliance/return/018d467b-a54a-f111-8ed8-005056be4ac2,2026-06-24T00:00:00+00:00,Closed,2026-05-08T00:00:00,P0577,fb942f45-1bf4-4451-b256-5c7e5bb7d814,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=018d467b-a54a-f111-8ed8-005056be4ac2
Hovione Limited - P0010,Monitoring Returns,Qtr 4 2025 Storm Water Diverts <30mins,https://leap.epa.ie/licence-profile/P0010/compliance/return/33b76ac7-3d1d-f111-a37d-0050568a2d1a,2026-06-24T00:00:00+00:00,Closed,2026-03-11T00:00:00,P0010,5539a361-3727-4cd9-b4e4-344ac6ae6bcb,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=33b76ac7-3d1d-f111-a37d-0050568a2d1a
Forest Laboratories Ireland Limited - P0306,Site Updates/Notifications,2026 Q2 RTO run schedule,https://leap.epa.ie/licence-profile/P0306/compliance/return/396891aa-643e-f111-a37d-0050568a2d1a,2026-06-24T00:00:00+00:00,Closed,2026-04-22T00:00:00,P0306,cc43e214-bf6b-48f5-8cc5-fa67457b2e25,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=396891aa-643e-f111-a37d-0050568a2d1a
Forest Laboratories Ireland Limited - P0306,Site Updates/Notifications,Effluent Plant Continuous Monitoring Disruption,https://leap.epa.ie/licence-profile/P0306/compliance/return/4285bb6a-643e-f111-a37d-0050568a2d1a,2026-06-24T00:00:00+00:00,Closed,2026-04-22T00:00:00,P0306,cc43e214-bf6b-48f5-8cc5-fa67457b2e25,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=4285bb6a-643e-f111-a37d-0050568a2d1a
Knockaconny - D0463,Site Updates/Notifications,Method Statement- Sludge/Reed Drying Beds Project,https://leap.epa.ie/licence-profile/D0463/compliance/return/462a6fd5-580e-f111-a37d-0050568a2d1a,2026-06-24T00:00:00+00:00,Closed,2026-02-20T00:00:00,D0463,6a71571d-577f-4e8c-a1f5-61efba113451,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=462a6fd5-580e-f111-a37d-0050568a2d1a
Knockaconny - D0463,Site Updates/Notifications,Method Statement- Sludge/Reed Drying Beds Project,https://leap.epa.ie/licence-profile/D0463/compliance/return/58761dc8-580e-f111-a37d-0050568a2d1a,2026-06-24T00:00:00+00:00,Closed,2026-02-20T00:00:00,D0463,6a71571d-577f-4e8c-a1f5-61efba113451,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=58761dc8-580e-f111-a37d-0050568a2d1a
Alexion Pharma International Operations Limited & Astrazeneca Ireland Limited - P1030,Monitoring Returns,Q1 2026 Emissions to Sewer & Surface water Quarterly summary report,https://leap.epa.ie/licence-profile/P1030/compliance/return/64f6359e-c643-f111-8ed8-005056be4ac2,2026-06-24T00:00:00+00:00,Closed,2026-04-29T00:00:00,P1030,f89123ac-6738-e611-99f8-0050568a69e2,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=64f6359e-c643-f111-8ed8-005056be4ac2
Kayfoam Woolfson - P0058,Site Updates/Notifications,Site Visit SV34432 10.02.26 - RESPONSE,https://leap.epa.ie/licence-profile/P0058/compliance/return/67019c80-d32c-f111-a37d-0050568a2d1a,2026-06-24T00:00:00+00:00,Closed,2026-03-31T00:00:00,P0058,d705ada1-d35e-4a4f-8010-319fefdd5b5d,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=67019c80-d32c-f111-a37d-0050568a2d1a
Ballyhaise - D0496,Site Updates/Notifications,Sludge/Reed Drying Beds - Desludging Project,https://leap.epa.ie/licence-profile/D0496/compliance/return/7b45d50c-590e-f111-a37d-0050568a2d1a,2026-06-24T00:00:00+00:00,Closed,2026-02-20T00:00:00,D0496,54d47372-330b-428d-8bcf-90fdcf740576,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=7b45d50c-590e-f111-a37d-0050568a2d1a
Bawnboy Waste Water Works - A0297,Site Updates/Notifications,Sludge/Reed Drying Beds- Desludging Project,https://leap.epa.ie/licence-profile/A0297/compliance/return/a12dce89-580e-f111-a37d-0050568a2d1a,2026-06-24T00:00:00+00:00,Closed,2026-02-20T00:00:00,A0297,88555eee-c4e6-41df-8038-a59d499cc02c,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=a12dce89-580e-f111-a37d-0050568a2d1a
