licence_profile_name,document_type,title,leap_url,document_date,compliance_status,compliance_date,profilenumber,licenceprofileid,document_url
Upper Liffey Valley Sewerage Scheme - D0002,Complaint,"(E) Possible pollution of Pinkeen stream, Kilcullen, Co Kildare",https://leap.epa.ie/licence-profile/D0002/compliance/complaint/400d604e-2519-f011-a373-0050568a2d1a,2025-04-10T00:00:00+00:00,Open,2025-04-09T00:00:00,D0002,b437566f-0bb3-482c-b719-ff577e1d9d75,https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=400d604e-2519-f011-a373-0050568a2d1a
Swords - D0024,Complaint,Swords WWTP Smell of sewage,https://leap.epa.ie/licence-profile/D0024/compliance/complaint/9e73ab8a-b116-f011-a373-0050568a2d1a,2025-04-10T00:00:00+00:00,Open,2025-04-10T00:00:00,D0024,b6f6a05d-2001-434b-bbf5-49e2a3c8e6c2,https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=9e73ab8a-b116-f011-a373-0050568a2d1a
Pfizer Ireland Pharmaceuticals Unlimited Company (Grange Castle) - P0652,Incident,Uncontrolled Release,https://leap.epa.ie/licence-profile/P0652/compliance/incident/093a4a7e-f815-f011-a373-0050568a2d1a,2025-04-10T00:00:00+00:00,Open,2025-04-10T00:00:00,P0652,52836abc-c980-4735-818e-6ee1bcfd6152,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=093a4a7e-f815-f011-a373-0050568a2d1a
Kenmare - D0184,Incident,Uncontrolled Release,https://leap.epa.ie/licence-profile/D0184/compliance/incident/284f8e98-f715-f011-a373-0050568a2d1a,2025-04-10T00:00:00+00:00,Open,2025-04-10T00:00:00,D0184,4656340c-af40-478a-bacf-5ca790ebb027,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=284f8e98-f715-f011-a373-0050568a2d1a
Pallaskenry - D0304,Incident,Uncontrolled Release,https://leap.epa.ie/licence-profile/D0304/compliance/incident/320c02b0-1a16-f011-a373-0050568a2d1a,2025-04-10T00:00:00+00:00,Open,2025-04-10T00:00:00,D0304,230468fd-3fa4-4a8e-b86d-78415dc41740,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=320c02b0-1a16-f011-a373-0050568a2d1a
Dairygold Co-operative Society Limited (Castlefarm) - P0404,Incident,Uncontrolled Release,https://leap.epa.ie/licence-profile/P0404/compliance/incident/4c11d1d0-e415-f011-a373-0050568a2d1a,2025-04-10T00:00:00+00:00,Open,2025-04-10T00:00:00,P0404,7559ca15-a380-41a0-9205-247a2e3bae64,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=4c11d1d0-e415-f011-a373-0050568a2d1a
"MSD International GmbH, trading as MSD Ireland (Brinny) - P0005",Incident,Refrigerant losses,https://leap.epa.ie/licence-profile/P0005/compliance/incident/5fe5221b-1b16-f011-a373-0050568a2d1a,2025-04-10T00:00:00+00:00,Open,2025-04-10T00:00:00,P0005,402b12ea-8c77-4050-bc57-908a1f088899,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=5fe5221b-1b16-f011-a373-0050568a2d1a
Sterling Pharma Ringaskiddy Limited - P0006,Incident,Reporting of loss of refrigerant gas under the F-Gas regulations.,https://leap.epa.ie/licence-profile/P0006/compliance/incident/757d68be-1616-f011-a373-0050568a2d1a,2025-04-10T00:00:00+00:00,Open,2025-04-10T00:00:00,P0006,d772370a-5f19-4eab-b3f1-8355324ed590,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=757d68be-1616-f011-a373-0050568a2d1a
BioMarin International Ltd - P0864,Incident,Reporting loss of refrigerant R-1234ZE on 11th October 2024 from Process Glycol Chiller (10-CH-21-30,https://leap.epa.ie/licence-profile/P0864/compliance/incident/d44f74fd-fa15-f011-a373-0050568a2d1a,2025-04-10T00:00:00+00:00,Open,2025-04-10T00:00:00,P0864,74c4e4e1-4af2-4a3b-95af-3e604fc83eb2,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=d44f74fd-fa15-f011-a373-0050568a2d1a
Derryclure Landfill - W0029,Monitoring Returns,Ground water monitoring results Q4 2025,https://leap.epa.ie/licence-profile/W0029/compliance/return/0102814b-0116-f011-a373-0050568a2d1a,2025-04-10T00:00:00+00:00,Open,2025-04-10T00:00:00,W0029,a3148361-f26a-4d49-b615-f37a0a243e7b,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=0102814b-0116-f011-a373-0050568a2d1a
Clonbulloge Ash Repository - W0049,Monitoring Returns,Surface Water Annual Monitoring Return 2024,https://leap.epa.ie/licence-profile/W0049/compliance/return/0c6bdca2-1916-f011-a373-0050568a2d1a,2025-04-10T00:00:00+00:00,Open,2025-04-10T00:00:00,W0049,7b07b395-e663-4466-907a-ae5168854d7a,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=0c6bdca2-1916-f011-a373-0050568a2d1a
Arrow Group - P0812,Site Updates/Notifications,Installation of new stack response,https://leap.epa.ie/licence-profile/P0812/compliance/return/17b7d593-e315-f011-a373-0050568a2d1a,2025-04-10T00:00:00+00:00,Open,2025-04-10T00:00:00,P0812,7fcd1011-168f-44a5-88a4-7c7a6749300f,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=17b7d593-e315-f011-a373-0050568a2d1a
Castletown - D0387,Annual Environmental Report,AER 2024,https://leap.epa.ie/licence-profile/D0387/compliance/return/2c43d7f7-1916-f011-a373-0050568a2d1a,2025-04-10T00:00:00+00:00,Open,2025-04-10T00:00:00,D0387,e55ef421-f3e7-4092-8403-66e67bcf70d6,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=2c43d7f7-1916-f011-a373-0050568a2d1a
JMW Farms (IRL) Limited - P0989,Annual Environmental Report,AER 2024,https://leap.epa.ie/licence-profile/P0989/compliance/return/41926a3d-1816-f011-a373-0050568a2d1a,2025-04-10T00:00:00+00:00,Open,2025-04-10T00:00:00,P0989,d17d79a8-6a3f-e511-a5db-0050568a69e2,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=41926a3d-1816-f011-a373-0050568a2d1a
Henkel Ireland Operations and Research Ireland Limited (Tallaght) - P0079,Site Updates/Notifications,2025 Tank 17 replacement,https://leap.epa.ie/licence-profile/P0079/compliance/return/68e46f85-2916-f011-a373-0050568a2d1a,2025-04-10T00:00:00+00:00,Open,2025-04-10T00:00:00,P0079,af2d8f84-1b57-424a-a46a-a029fa9d4cda,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=68e46f85-2916-f011-a373-0050568a2d1a
Omeath - D0547,Annual Environmental Report,AER 2024,https://leap.epa.ie/licence-profile/D0547/compliance/return/7c22b2b0-1c16-f011-a373-0050568a2d1a,2025-04-10T00:00:00+00:00,Open,2025-04-10T00:00:00,D0547,d6f81e4a-2a2d-ed11-a30d-0050568a66b2,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=7c22b2b0-1c16-f011-a373-0050568a2d1a
JMW Farms (IRL) Limited - P0978,Annual Environmental Report,AER 2024,https://leap.epa.ie/licence-profile/P0978/compliance/return/8234adca-1416-f011-a373-0050568a2d1a,2025-04-10T00:00:00+00:00,Open,2025-04-10T00:00:00,P0978,3cbea280-fbbc-e411-b3b4-0050568a69e2,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=8234adca-1416-f011-a373-0050568a2d1a
Messrs Jim & Mark Wright T/A JMW Farms - P0696,Annual Environmental Report,AER 2024,https://leap.epa.ie/licence-profile/P0696/compliance/return/99d9ead9-0416-f011-a373-0050568a2d1a,2025-04-10T00:00:00+00:00,Open,2025-04-10T00:00:00,P0696,a1b084bd-3e4a-48b1-a361-140ff0da4bb6,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=99d9ead9-0416-f011-a373-0050568a2d1a
JMW Farms (IRL) Limited - P0455,Annual Environmental Report,AER 2024,https://leap.epa.ie/licence-profile/P0455/compliance/return/a6d8ac57-0016-f011-a373-0050568a2d1a,2025-04-10T00:00:00+00:00,Open,2025-04-10T00:00:00,P0455,23dd5bab-ddd3-40d5-a734-ed2b54d6f912,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=a6d8ac57-0016-f011-a373-0050568a2d1a
Clonbulloge Ash Repository - W0049,Monitoring Returns,Groundwater Annual Monitoring Return 2024,https://leap.epa.ie/licence-profile/W0049/compliance/return/bcf6300d-1916-f011-a373-0050568a2d1a,2025-04-10T00:00:00+00:00,Open,2025-04-10T00:00:00,W0049,7b07b395-e663-4466-907a-ae5168854d7a,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=bcf6300d-1916-f011-a373-0050568a2d1a
JMW Farms (IRL) Limited - P1082,Annual Environmental Report,AER 2024,https://leap.epa.ie/licence-profile/P1082/compliance/return/ccc1a832-2816-f011-a373-0050568a2d1a,2025-04-10T00:00:00+00:00,Open,2025-04-10T00:00:00,P1082,ad21b8e8-334f-4612-9c2c-d94257812b25,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=ccc1a832-2816-f011-a373-0050568a2d1a
Henkel Ireland Operations and Research Limited (Ballyfermot) - P0078,Monitoring Returns,2025 Q1 Emissions to sewer,https://leap.epa.ie/licence-profile/P0078/compliance/return/d5352888-3216-f011-a373-0050568a2d1a,2025-04-10T00:00:00+00:00,Open,2025-04-10T00:00:00,P0078,e5130308-0fc0-4f69-961f-afb6e1661450,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=d5352888-3216-f011-a373-0050568a2d1a
Henkel Ireland Operations and Research Ireland Limited (Tallaght) - P0079,Monitoring Returns,2025 Q1 Emissions to water,https://leap.epa.ie/licence-profile/P0079/compliance/return/e189231b-3016-f011-a373-0050568a2d1a,2025-04-10T00:00:00+00:00,Open,2025-04-10T00:00:00,P0079,af2d8f84-1b57-424a-a46a-a029fa9d4cda,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=e189231b-3016-f011-a373-0050568a2d1a
Clonbulloge Ash Repository - W0049,EPA Initiated Correspondence,,https://leap.epa.ie/licence-profile/W0049/compliance/epa-correspondence/75117c6e-2616-f011-a373-0050568a2d1a,2025-04-10T00:00:00+00:00,Closed,2025-04-10T00:00:00,W0049,7b07b395-e663-4466-907a-ae5168854d7a,https://data.epa.ie/leap/api/v1/MeetingCorrespondence/epainiciatedcorrespondencebyid?epainitiatedcorrespondence_id=75117c6e-2616-f011-a373-0050568a2d1a
PDM Timber Treatment Limited - P0325,Non Compliance,,https://leap.epa.ie/licence-profile/P0325/compliance/non-compliance/41ced8d7-c113-f011-a373-0050568a2d1a,2025-04-10T00:00:00+00:00,Issued,2025-04-10T00:00:00,P0325,9a5dfee4-003a-4c50-9ade-d074dff60ab8,https://data.epa.ie/leap/api/v1/NonCompliance/byid?nc_id=41ced8d7-c113-f011-a373-0050568a2d1a
Arrow Group - P0812,Site Visit,,https://leap.epa.ie/licence-profile/P0812/compliance/sitevisit/0432c205-120e-f011-a373-0050568a2d1a,2025-04-10T00:00:00+00:00,Closed,2025-03-28T00:00:00,P0812,7fcd1011-168f-44a5-88a4-7c7a6749300f,https://data.epa.ie/leap/api/v1/SiteVisit/byid?sv_id=0432c205-120e-f011-a373-0050568a2d1a
PDM Timber Treatment Limited - P0325,Site Visit,,https://leap.epa.ie/licence-profile/P0325/compliance/sitevisit/359b73dd-7006-f011-a373-0050568a2d1a,2025-04-10T00:00:00+00:00,Closed,2025-03-13T00:00:00,P0325,9a5dfee4-003a-4c50-9ade-d074dff60ab8,https://data.epa.ie/leap/api/v1/SiteVisit/byid?sv_id=359b73dd-7006-f011-a373-0050568a2d1a
Rathroeen Landfill - W0067,Site Visit,,https://leap.epa.ie/licence-profile/W0067/compliance/sitevisit/3704f3ba-dcbd-ef11-a324-0050568a66b2,2025-04-10T00:00:00+00:00,Closed,2025-02-20T00:00:00,W0067,3441b1da-d908-492b-b393-d77ae6e6b056,https://data.epa.ie/leap/api/v1/SiteVisit/byid?sv_id=3704f3ba-dcbd-ef11-a324-0050568a66b2
Medtronic Vascular Galway Unlimited Company - P0264,Site Visit,,https://leap.epa.ie/licence-profile/P0264/compliance/sitevisit/4f02f3ba-dcbd-ef11-a324-0050568a66b2,2025-04-10T00:00:00+00:00,Closed,2025-03-05T00:00:00,P0264,e4bef1a4-ba28-44db-8dfb-95f810f30f55,https://data.epa.ie/leap/api/v1/SiteVisit/byid?sv_id=4f02f3ba-dcbd-ef11-a324-0050568a66b2
