licence_profile_name,document_type,title,leap_url,document_date,compliance_status,compliance_date,profilenumber,licenceprofileid,document_url
Bord na Mona Lanesboro (Longford) - P0504,Complaint,P0504-01: 09/10/2025: Silt on Grassland,https://leap.epa.ie/licence-profile/P0504/compliance/complaint/27ee736a-c5a5-f011-a377-0050568a2d1a,2025-11-03T00:00:00+00:00,Closed,2025-10-09T00:00:00,P0504,f86701c7-076c-4369-8422-8adb6334959f,https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=27ee736a-c5a5-f011-a377-0050568a2d1a
Minch Malt Limited - P1129,Incident,Breach of ELV,https://leap.epa.ie/licence-profile/P1129/compliance/incident/3da4874e-96ae-f011-a377-0050568a2d1a,2025-11-03T00:00:00+00:00,Closed,2025-10-21T00:00:00,P1129,d95973f9-643d-4418-9039-0e9d412eb420,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=3da4874e-96ae-f011-a377-0050568a2d1a
Tirlán Limited - P0794,Incident,Monitoring Equipment offline,https://leap.epa.ie/licence-profile/P0794/compliance/incident/47c484eb-40a8-f011-a377-0050568a2d1a,2025-11-03T00:00:00+00:00,Closed,2025-10-13T00:00:00,P0794,5e3675af-cba6-4aad-86c1-ad79abfe215c,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=47c484eb-40a8-f011-a377-0050568a2d1a
Whiteriver Landfill Site - W0060,Incident,Problem with air compressor at Flare compound which operates knock out pots is under constant operat,https://leap.epa.ie/licence-profile/W0060/compliance/incident/86760efe-17aa-f011-a377-0050568a2d1a,2025-11-03T00:00:00+00:00,Closed,2025-10-15T00:00:00,W0060,2bf2b721-b89d-4052-95cc-c61f0bcb1a5d,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=86760efe-17aa-f011-a377-0050568a2d1a
Bord Na Móna Recycling Limited - W0194,Incident,Breach of ELV,https://leap.epa.ie/licence-profile/W0194/compliance/incident/acbeb3b8-ccad-f011-a377-0050568a2d1a,2025-11-03T00:00:00+00:00,Closed,2025-10-20T00:00:00,W0194,4da8438c-303c-4abc-9a4c-fa3cbedc6115,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=acbeb3b8-ccad-f011-a377-0050568a2d1a
Mr T.A. Norton - P0259,Annual Environmental Report,Water Analyses 2024 P0259,https://leap.epa.ie/licence-profile/P0259/compliance/return/0bb1d677-210b-f011-a373-0050568a2d1a,2025-11-03T00:00:00+00:00,Closed,2025-03-27T00:00:00,P0259,a7db58ad-9750-44b2-92c3-efea5b43aa79,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=0bb1d677-210b-f011-a373-0050568a2d1a
Saint-Gobain Construction Products (Ireland) Limited - P0519,Site Updates/Notifications,Blast Notification Update (LR098350),https://leap.epa.ie/licence-profile/P0519/compliance/return/39a5ef7f-88ad-f011-a377-0050568a2d1a,2025-11-03T00:00:00+00:00,Closed,2025-10-20T00:00:00,P0519,a5986173-75e5-492e-897f-32f2c8be302a,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=39a5ef7f-88ad-f011-a377-0050568a2d1a
Galway Metal Company Limited - P1006,Requests for Approval and Site Reports,Oil Filled Electrical Equipment Storage and Processing,https://leap.epa.ie/licence-profile/P1006/compliance/return/96bb83d5-c3a2-f011-a377-0050568a2d1a,2025-11-03T00:00:00+00:00,Closed,2025-10-06T00:00:00,P1006,5f7f92c1-a754-e611-9a04-0050568a69e2,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=96bb83d5-c3a2-f011-a377-0050568a2d1a
Port of Waterford. - S0012,Site Updates/Notifications,Pre dredge survey update,https://leap.epa.ie/licence-profile/S0012/compliance/return/982f76cd-e0b0-f011-a377-0050568a2d1a,2025-11-03T00:00:00+00:00,Closed,2025-10-24T00:00:00,S0012,d3e61a83-98a6-e611-8d41-0050568a69e2,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=982f76cd-e0b0-f011-a377-0050568a2d1a
Ringsend - D0034,Incident,Abatement equipment off-line,https://leap.epa.ie/licence-profile/D0034/compliance/incident/482df3b0-56a4-f011-a377-0050568a2d1a,2025-10-31T00:00:00+00:00,Closed,2025-10-08T00:00:00,D0034,188b6e9c-77a4-4dd9-895c-17080f6af298,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=482df3b0-56a4-f011-a377-0050568a2d1a
Bord Na Móna Recycling Limited - W0131,Incident,Breach of ELV,https://leap.epa.ie/licence-profile/W0131/compliance/incident/57945d8b-08b0-f011-a377-0050568a2d1a,2025-10-31T00:00:00+00:00,Closed,2025-10-23T00:00:00,W0131,b71df142-95a8-4097-97c0-a45c83464ec2,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=57945d8b-08b0-f011-a377-0050568a2d1a
Arthurstown Landfill - W0004,Incident,Trigger Level Reached,https://leap.epa.ie/licence-profile/W0004/compliance/incident/ba784f4b-4baf-f011-a377-0050568a2d1a,2025-10-31T00:00:00+00:00,Closed,2025-10-22T00:00:00,W0004,290726e2-768f-4dee-a99b-75696d74e521,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=ba784f4b-4baf-f011-a377-0050568a2d1a
Starrus Eco Holdings Limited (Sligo) - W0058,Incident,Breach of ELV,https://leap.epa.ie/licence-profile/W0058/compliance/incident/be556009-f6a8-f011-a377-0050568a2d1a,2025-10-31T00:00:00+00:00,Closed,2025-10-14T00:00:00,W0058,596c7017-578c-493a-b66b-d6f0b4bd1410,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=be556009-f6a8-f011-a377-0050568a2d1a
Mr Martin McAree - P0850,Site Updates/Notifications,Response to SVR,https://leap.epa.ie/licence-profile/P0850/compliance/return/0f73d83a-40af-f011-a377-0050568a2d1a,2025-10-31T00:00:00+00:00,Closed,2025-10-22T00:00:00,P0850,71daf245-a64c-4c76-b79b-c56865165960,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=0f73d83a-40af-f011-a377-0050568a2d1a
Merck Millipore Limited - P0571,Site Updates/Notifications,Licensee Public Response - SV31100,https://leap.epa.ie/licence-profile/P0571/compliance/return/1cf52643-c836-f011-a373-0050568a2d1a,2025-10-31T00:00:00+00:00,Closed,2025-05-22T00:00:00,P0571,b6c708e3-93c0-41c2-a1dc-5d12732e786c,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=1cf52643-c836-f011-a373-0050568a2d1a
Tirlán Limited - P1027,Requests for Approval and Site Reports,P1027-01 Amendment A,https://leap.epa.ie/licence-profile/P1027/compliance/return/5c204c8e-b3a5-f011-a377-0050568a2d1a,2025-10-31T00:00:00+00:00,Closed,2025-10-10T00:00:00,P1027,ae21fab2-5737-e811-a2d3-0050568a66b2,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=5c204c8e-b3a5-f011-a377-0050568a2d1a
