licence_profile_name,document_type,title,leap_url,document_date,compliance_status,compliance_date,profilenumber,licenceprofileid,document_url
Aurivo Consumer Foods Limited - P1035,Complaint,"P1035-01, 17/09/2025, Noise",https://leap.epa.ie/licence-profile/P1035/compliance/complaint/b1baa278-9097-f011-a377-0050568a2d1a,2025-09-19T00:00:00+00:00,Open,2025-09-19T00:00:00,P1035,bd27580f-5fd8-e811-a2db-0050568a66b2,https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=b1baa278-9097-f011-a377-0050568a2d1a
Ringsend - D0034,Incident,Abatement equipment off-line,https://leap.epa.ie/licence-profile/D0034/compliance/incident/044fbe88-6c95-f011-a377-0050568a2d1a,2025-09-19T00:00:00+00:00,Open,2025-09-19T00:00:00,D0034,188b6e9c-77a4-4dd9-895c-17080f6af298,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=044fbe88-6c95-f011-a377-0050568a2d1a
Muinebheag and Leighlinbridge - D0090,Incident,Breach of ELV,https://leap.epa.ie/licence-profile/D0090/compliance/incident/2361cf72-f287-f011-a373-0050568a2d1a,2025-09-19T00:00:00+00:00,Closed,2025-09-02T00:00:00,D0090,4aae32d6-287e-49fb-b97a-22d553ae845f,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=2361cf72-f287-f011-a373-0050568a2d1a
Cork City - D0033,Incident,Uncontrolled Release,https://leap.epa.ie/licence-profile/D0033/compliance/incident/257ce6b1-5795-f011-a377-0050568a2d1a,2025-09-19T00:00:00+00:00,Open,2025-09-19T00:00:00,D0033,4b1b0eaa-2010-4b68-932d-a2e6236077bd,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=257ce6b1-5795-f011-a377-0050568a2d1a
Rathangan - D0175,Incident,Uncontrolled Release,https://leap.epa.ie/licence-profile/D0175/compliance/incident/385172dd-7295-f011-a377-0050568a2d1a,2025-09-19T00:00:00+00:00,Open,2025-09-19T00:00:00,D0175,02131887-10d8-4580-8eab-ae540d3b567c,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=385172dd-7295-f011-a377-0050568a2d1a
Milltown (Galway) - A0562,Incident,Uncontrolled Release,https://leap.epa.ie/licence-profile/A0562/compliance/incident/4445dc0e-6595-f011-a377-0050568a2d1a,2025-09-19T00:00:00+00:00,Open,2025-09-19T00:00:00,A0562,0af4f8b8-834b-e711-91cb-0050568a69e2,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=4445dc0e-6595-f011-a377-0050568a2d1a
Eli Lilly Kinsale Limited - P0009,Incident,F-Gas leaks from F-Gas containing equipment year to date during 2025.,https://leap.epa.ie/licence-profile/P0009/compliance/incident/53e81d54-4092-f011-a377-0050568a2d1a,2025-09-19T00:00:00+00:00,Closed,2025-09-15T00:00:00,P0009,9749c6a2-a309-4de2-af1c-37bb5381d391,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=53e81d54-4092-f011-a377-0050568a2d1a
Electricity Supply Board (Moneypoint) - P0605,Incident,Breach of ELV,https://leap.epa.ie/licence-profile/P0605/compliance/incident/6cfe54ba-6d95-f011-a377-0050568a2d1a,2025-09-19T00:00:00+00:00,Open,2025-09-19T00:00:00,P0605,d7347f12-ed09-4cff-b9e0-6b40203819d8,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=6cfe54ba-6d95-f011-a377-0050568a2d1a
Fedamore - A0204,Incident,Abatement equipment off-line,https://leap.epa.ie/licence-profile/A0204/compliance/incident/7314be33-5795-f011-a377-0050568a2d1a,2025-09-19T00:00:00+00:00,Open,2025-09-19T00:00:00,A0204,212574c9-93c6-4cc5-a3e1-f0703be30ba8,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=7314be33-5795-f011-a377-0050568a2d1a
AbbVie Ireland NL B.V. - P1087,Incident,Uncontrolled Release,https://leap.epa.ie/licence-profile/P1087/compliance/incident/a9bb8269-3495-f011-a377-0050568a2d1a,2025-09-19T00:00:00+00:00,Open,2025-09-19T00:00:00,P1087,4511e834-e339-4039-9d79-5cf184200443,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=a9bb8269-3495-f011-a377-0050568a2d1a
