licence_profile_name,document_type,title,leap_url,document_date,compliance_status,compliance_date,profilenumber,licenceprofileid,document_url
Corduff FlexGen - P1138,Site Updates/Notifications,Distributed Generation Procedure for Maintaining IE Licence Compliance (Gaseous Emissions),https://leap.epa.ie/licence-profile/P1138/compliance/return/1d248e00-80b9-ef11-a36c-0050568a2d1a,2025-09-15T00:00:00+00:00,Closed,2024-12-13T00:00:00,P1138,709c99e3-6beb-468b-9a02-8a55e4bda732,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=1d248e00-80b9-ef11-a36c-0050568a2d1a
Ballymount Baling Station - W0003,Monitoring Returns,W0003-03 2025 Q2 Tonnage Reports,https://leap.epa.ie/licence-profile/W0003/compliance/return/a90fafdb-9f5d-f011-a373-0050568a2d1a,2025-09-15T00:00:00+00:00,Closed,2025-07-10T00:00:00,W0003,ac2d08e5-ca30-4db3-8dfa-02e6afc73ba1,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=a90fafdb-9f5d-f011-a373-0050568a2d1a
Starrus Eco Holdings Limited (Dock Road) - W0082,Site Updates/Notifications,Licensee Public Response - SV32846,https://leap.epa.ie/licence-profile/W0082/compliance/return/945ab669-3388-f011-a373-0050568a2d1a,2025-09-14T00:00:00+00:00,Closed,2025-09-02T00:00:00,W0082,4e579437-ffb7-4754-a233-ee766d22a0ba,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=945ab669-3388-f011-a373-0050568a2d1a
