licence_profile_name,document_type,title,leap_url,document_date,compliance_status,compliance_date,profilenumber,licenceprofileid,document_url
Drehid Waste Management Facility - W0201,Monitoring Returns,2025 First Biannual Biofilter Monitoring Report,https://leap.epa.ie/licence-profile/W0201/compliance/return/2311454c-fd6d-f011-a373-0050568a2d1a,2025-09-26T00:00:00+00:00,Closed,2025-07-31T00:00:00,W0201,cc39b8c1-819f-4b39-ad05-22361694bb41,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=2311454c-fd6d-f011-a373-0050568a2d1a
Kepak Longford Unlimited Company - P1084,Site Updates/Notifications,Requestion for Information - Fugitvie Emission,https://leap.epa.ie/licence-profile/P1084/compliance/return/708c0c8f-4383-f011-a373-0050568a2d1a,2025-09-25T00:00:00+00:00,Closed,2025-08-27T00:00:00,P1084,acf675a7-2b7e-4f74-92ab-710651a70335,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=708c0c8f-4383-f011-a373-0050568a2d1a
Thorntons Recycling Centre (Ballyfermot) - W0044,Requests for Approval and Site Reports,Notification of a New Outlet,https://leap.epa.ie/licence-profile/W0044/compliance/return/a7364d74-2a83-f011-a373-0050568a2d1a,2025-09-25T00:00:00+00:00,Closed,2025-08-27T00:00:00,W0044,f6bad764-903c-42ee-a586-7d517000d5a1,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=a7364d74-2a83-f011-a373-0050568a2d1a
