licence_profile_name,document_type,title,leap_url,document_date,compliance_status,compliance_date,profilenumber,licenceprofileid,document_url
Tirlán Limited & Nutricia Infant Nutrition Ltd - P1140,Site Updates/Notifications,NC032763 RCA ELV Exceedance,https://leap.epa.ie/licence-profile/P1140/compliance/return/2a3d7875-407c-f011-a373-0050568a2d1a,2025-09-18T00:00:00+00:00,Closed,2025-08-18T00:00:00,P1140,04c589cf-4e89-4f35-beb1-5f2f2a5c0610,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=2a3d7875-407c-f011-a373-0050568a2d1a
William Connolly & Sons Unlimited Company - P1069,Site Updates/Notifications,Point 3 of the Site Visit Report,https://leap.epa.ie/licence-profile/P1069/compliance/return/32541a5e-f47c-f011-a373-0050568a2d1a,2025-09-18T00:00:00+00:00,Closed,2025-08-19T00:00:00,P1069,0f6b2f66-91b5-4f1c-b17f-36bfc9570ac9,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=32541a5e-f47c-f011-a373-0050568a2d1a
Tipperary Co-operative Creamery Limited - P0801,Site Updates/Notifications,Response to PFOA Email.,https://leap.epa.ie/licence-profile/P0801/compliance/return/4348ada0-7e77-f011-a373-0050568a2d1a,2025-09-18T00:00:00+00:00,Closed,2025-08-12T00:00:00,P0801,026aee83-b768-4261-9048-837d8196b0f3,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=4348ada0-7e77-f011-a373-0050568a2d1a
Arrabawn Co-operative Society Limited - P0791,Site Updates/Notifications,Commencement of new pipeline to the Nenagh river,https://leap.epa.ie/licence-profile/P0791/compliance/return/bafeabb9-5278-f011-a373-0050568a2d1a,2025-09-18T00:00:00+00:00,Closed,2025-08-13T00:00:00,P0791,1d9f7773-fd97-4aa8-9cb5-9654f20dcc81,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=bafeabb9-5278-f011-a373-0050568a2d1a
Bord na Móna Energy Limited (Blackwater) - P0502,Requests for Approval and Site Reports,Amendment to Monitoring and Silt Pond Maintenance,https://leap.epa.ie/licence-profile/P0502/compliance/return/bb52065f-e77c-f011-a373-0050568a2d1a,2025-09-18T00:00:00+00:00,Closed,2025-08-19T00:00:00,P0502,1b08ee9f-f89c-41d4-a516-4c3e13079a9f,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=bb52065f-e77c-f011-a373-0050568a2d1a
Bord na Móna Energy Limited (Blackwater) - P0502,Site Updates/Notifications,Trigger limit reached,https://leap.epa.ie/licence-profile/P0502/compliance/return/f91c1706-ed7c-f011-a373-0050568a2d1a,2025-09-18T00:00:00+00:00,Closed,2025-08-19T00:00:00,P0502,1b08ee9f-f89c-41d4-a516-4c3e13079a9f,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=f91c1706-ed7c-f011-a373-0050568a2d1a
Blackrock - D0188,Complaint,COM021682 - Web Submission,https://leap.epa.ie/licence-profile/D0188/compliance/complaint/114a93f1-337d-f011-a373-0050568a2d1a,2025-09-16T00:00:00+00:00,Closed,2025-08-19T00:00:00,D0188,02c378a0-0b5b-42a5-826e-5dc6bb2e7826,https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=114a93f1-337d-f011-a373-0050568a2d1a
Dublin Port Company - P1022,Incident,Breach of ELV,https://leap.epa.ie/licence-profile/P1022/compliance/incident/f71141f2-ea7c-f011-a373-0050568a2d1a,2025-09-16T00:00:00+00:00,Closed,2025-08-19T00:00:00,P1022,cbd1e82a-0ab7-e611-a4f6-0050568a69e2,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=f71141f2-ea7c-f011-a373-0050568a2d1a
Dublin Aerospace Limited - P0480,Monitoring Returns,Groundwater monitoring results Q1 2025 and Q2 2025,https://leap.epa.ie/licence-profile/P0480/compliance/return/efb735d1-f67c-f011-a373-0050568a2d1a,2025-09-16T00:00:00+00:00,Closed,2025-08-19T00:00:00,P0480,9086c85a-3aeb-4dc4-95e4-55747e1db622,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=efb735d1-f67c-f011-a373-0050568a2d1a
