licence_profile_name,document_type,title,leap_url,document_date,compliance_status,compliance_date,profilenumber,licenceprofileid,document_url
Dunmore Landfill - W0030,Annual Environmental Report,2025 AER,https://leap.epa.ie/licence-profile/W0030/compliance/return/0acc3fc2-0d4e-f111-8ed8-005056be4ac2,2026-07-10T00:00:00+00:00,Closed,2026-05-12T00:00:00,W0030,c3073f0d-6092-4564-b6a9-5de1da6b27fc,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=0acc3fc2-0d4e-f111-8ed8-005056be4ac2
Timoleague Agri Gen Limited - P0986,Annual Environmental Report,AER 2025,https://leap.epa.ie/licence-profile/P0986/compliance/return/6b41b62f-e464-f111-8ed8-005056be4ac2,2026-07-10T00:00:00+00:00,Closed,2026-06-10T00:00:00,P0986,e334799f-9bb0-e611-8d41-0050568a69e2,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=6b41b62f-e464-f111-8ed8-005056be4ac2
Vermilion Exploration and Production Ireland Limited - P0738,Site Updates/Notifications,OxyMem Site Visit Report,https://leap.epa.ie/licence-profile/P0738/compliance/return/b330574e-a164-f111-8ed8-005056be4ac2,2026-07-08T00:00:00+00:00,Closed,2026-06-10T00:00:00,P0738,aa3749e0-2af5-4c42-b314-e161593785e9,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=b330574e-a164-f111-8ed8-005056be4ac2
