licence_profile_name,document_type,title,leap_url,document_date,compliance_status,compliance_date,profilenumber,licenceprofileid,document_url
Microsoft Ireland Operations Limited - P1191,Monitoring Returns,Soil and Groundwater Report P1191-01 MSFT Grange Castle,https://leap.epa.ie/licence-profile/P1191/compliance/return/0aff804e-266b-f111-8ed8-005056be4ac2,2026-07-22T00:00:00+00:00,Closed,2026-06-18T00:00:00,P1191,efafca2e-e098-40e2-bcda-07e5583fec87,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=0aff804e-266b-f111-8ed8-005056be4ac2
Amgen Technology (Ireland) Unlimited Company - P0019,Requests for Approval and Site Reports,RFA Change to scope and frequency of monitoring following cessation of licence activity,https://leap.epa.ie/licence-profile/P0019/compliance/return/181b7dc2-935e-f111-8ed8-005056be4ac2,2026-07-22T00:00:00+00:00,Closed,2026-06-02T00:00:00,P0019,ebf61e08-e66d-4b32-ad46-dca1ce1504ca,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=181b7dc2-935e-f111-8ed8-005056be4ac2
BBALP Limited - P0275,Site Closure and Surrender,ICA - 2026 update,https://leap.epa.ie/licence-profile/P0275/compliance/return/3ed1eccd-b143-f111-8ed8-005056be4ac2,2026-07-22T00:00:00+00:00,Closed,2026-04-29T00:00:00,P0275,dfaa4ce5-bb79-460d-9d01-f1c67e47b890,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=3ed1eccd-b143-f111-8ed8-005056be4ac2
Microsoft Ireland Operations Limited - P1190,Monitoring Returns,Soil and Groundwater Report P1190-01 MSFT Grange Castle,https://leap.epa.ie/licence-profile/P1190/compliance/return/44667920-266b-f111-8ed8-005056be4ac2,2026-07-22T00:00:00+00:00,Closed,2026-06-18T00:00:00,P1190,d31b9f51-11b6-4bcb-ae2e-37feb8da6319,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=44667920-266b-f111-8ed8-005056be4ac2
JCM Farm Limited - P0431,Site Updates/Notifications,SVR Response,https://leap.epa.ie/licence-profile/P0431/compliance/return/473bf201-0a5b-ef11-a368-0050568a2d1a,2026-07-22T00:00:00+00:00,Closed,2024-08-15T00:00:00,P0431,e24fc478-592f-44af-b555-67f329d9dfce,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=473bf201-0a5b-ef11-a368-0050568a2d1a
Padraig Thornton Waste Disposal Limited - P1014,Site Updates/Notifications,Site update- resumed operations,https://leap.epa.ie/licence-profile/P1014/compliance/return/4eb5cc76-4258-f111-8ed8-005056be4ac2,2026-07-22T00:00:00+00:00,Closed,2026-05-25T00:00:00,P1014,d0eb7292-66a5-e511-987f-0050568a69e2,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=4eb5cc76-4258-f111-8ed8-005056be4ac2
Padraig Thornton Waste Disposal Ltd - W0206,Site Updates/Notifications,Licensee Public Response - SV34530,https://leap.epa.ie/licence-profile/W0206/compliance/return/7e25c1ac-895e-f111-8ed8-005056be4ac2,2026-07-22T00:00:00+00:00,Closed,2026-06-02T00:00:00,W0206,a3942836-5326-403b-98d0-ef21fd454fc5,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=7e25c1ac-895e-f111-8ed8-005056be4ac2
Waterford Carpets Limited - P0510,Site Updates/Notifications,Licensee Public Response - SV33411,https://leap.epa.ie/licence-profile/P0510/compliance/return/a78f1e7e-c21e-f111-a37d-0050568a2d1a,2026-07-22T00:00:00+00:00,Closed,2026-03-13T00:00:00,P0510,17481eff-ef09-4b71-b89d-f99ff3094e0f,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=a78f1e7e-c21e-f111-a37d-0050568a2d1a
Boliden Tara Mines Limited - P0516,Monitoring Returns,2025 Annual Hydro-environmental Monitoring Report at the TSF,https://leap.epa.ie/licence-profile/P0516/compliance/return/a82822ab-263f-f111-a37d-0050568a2d1a,2026-07-22T00:00:00+00:00,Closed,2026-04-23T00:00:00,P0516,87b64801-f4eb-4205-9197-0233586a0f2e,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=a82822ab-263f-f111-a37d-0050568a2d1a
Kepak Clonee t/a Kepak Ballybay - P0803,Site Updates/Notifications,Missed Sampling January/February 2026,https://leap.epa.ie/licence-profile/P0803/compliance/return/d874ec01-8732-f111-a37d-0050568a2d1a,2026-07-22T00:00:00+00:00,Closed,2026-04-07T00:00:00,P0803,e7300aeb-e8ca-4da8-adc3-11decfcc50fc,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=d874ec01-8732-f111-a37d-0050568a2d1a
Microsoft Ireland Operations Limited - P1187,Monitoring Returns,Soil and Groundwater Report P1187-01 MSFT Grange Castle,https://leap.epa.ie/licence-profile/P1187/compliance/return/f644e4e9-256b-f111-8ed8-005056be4ac2,2026-07-22T00:00:00+00:00,Closed,2026-06-18T00:00:00,P1187,fcd3466a-f9ca-4ee5-842c-ea7f6f342750,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=f644e4e9-256b-f111-8ed8-005056be4ac2
Grant Engineering (Ireland) Unlimited Company - P0294,Incident,Breach of ELV,https://leap.epa.ie/licence-profile/P0294/compliance/incident/30807b10-0b6e-f111-8ed8-005056be4ac2,2026-07-20T00:00:00+00:00,Closed,2026-06-22T00:00:00,P0294,3d433034-7e99-40f7-822c-e47fa9e55bd6,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=30807b10-0b6e-f111-8ed8-005056be4ac2
